State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
uttar-pradesh,2020,4,bara banki district,229762,3931291
uttar-pradesh,2020,4,bareilly district,611236,10242914
uttar-pradesh,2020,4,sitapur district,310665,3767672
uttar-pradesh,2020,4,sultanpur district,239344,4471257
uttar-pradesh,2020,4,agra district,900497,17201865
uttar-pradesh,2020,4,fatehpur district,178261,2749812
uttar-pradesh,2020,4,rae bareli district,209697,3506895
uttar-pradesh,2020,4,firozabad district,324392,5453314
uttar-pradesh,2020,4,kheri district,348147,4361683
uttar-pradesh,2020,4,gorakhpur district,722618,15236806
uttar-pradesh,2020,4,unnao district,232426,3840623
uttar-pradesh,2020,4,prayagraj district,1059982,20372785
uttar-pradesh,2020,4,sonbhadra district,217218,5007480
uttar-pradesh,2020,4,ghazipur district,409921,7983241
uttar-pradesh,2020,4,farrukhabad district,182995,3198914
uttar-pradesh,2020,4,kannauj district,156055,2459812
uttar-pradesh,2020,4,azamgarh district,463173,8312356
uttar-pradesh,2020,4,ayodhya district,296721,5369147
uttar-pradesh,2020,4,deoria district,391411,9021020
uttar-pradesh,2020,4,ghaziabad district,1647330,41205756
uttar-pradesh,2021,1,amethi district,209408,3797616
uttar-pradesh,2021,1,siddharthnagar district,213056,5043863
uttar-pradesh,2021,1,auraiya district,162129,3205592
uttar-pradesh,2021,1,sambhal district,173933,3289299
uttar-pradesh,2021,1,kanpur nagar district,1100587,21921245
uttar-pradesh,2021,1,aligarh district,588461,12681750
uttar-pradesh,2021,1,mahoba district,85807,1528269
uttar-pradesh,2021,1,lucknow district,1813076,43670344
uttar-pradesh,2021,1,sant kabeer nagar district,164355,3480061
uttar-pradesh,2021,1,hathras district,197275,3974475
uttar-pradesh,2021,1,budaun district,229929,3934634
uttar-pradesh,2021,1,moradabad district,399160,7973523
uttar-pradesh,2021,1,kushinagar district,437393,10502078
uttar-pradesh,2021,1,baghpat district,207627,5012968
uttar-pradesh,2021,1,shahjahanpur district,265197,4231018
uttar-pradesh,2021,1,muzaffarnagar district,387177,8303720
uttar-pradesh,2021,1,ambedkar nagar district,259324,4376892
uttar-pradesh,2021,1,bahraich district,194163,3507029
uttar-pradesh,2021,1,jalaun district,195777,3709496
uttar-pradesh,2021,1,rampur district,211156,3922735
uttar-pradesh,2021,1,ballia district,412104,8444901
uttar-pradesh,2021,1,shravasti district,49462,912847
uttar-pradesh,2021,1,kasganj district,134535,2391474
uttar-pradesh,2021,1,varanasi district,1079309,19374684
uttar-pradesh,2021,1,gautam buddha nagar district,2181874,77986145
uttar-pradesh,2021,1,basti district,275414,5856483
uttar-pradesh,2021,1,shamli district,163182,3497004
uttar-pradesh,2021,1,maharajganj district,279707,5572104
uttar-pradesh,2021,1,etawah district,213975,4380134
uttar-pradesh,2021,1,etah district,183538,3456357
uttar-pradesh,2021,1,banda district,131226,2164421
uttar-pradesh,2021,1,bijnor district,381195,7407766
uttar-pradesh,2021,1,hardoi district,272411,4193558
uttar-pradesh,2021,1,balrampur district,127631,2667989
uttar-pradesh,2021,1,amroha district,208607,4613416
uttar-pradesh,2021,1,pilibhit district,199023,3097811
uttar-pradesh,2021,1,mainpuri district,212294,3847516
uttar-pradesh,2021,1,kanpur dehat district,159123,3271176
uttar-pradesh,2021,1,jaunpur district,558808,10355919
uttar-pradesh,2021,1,kaushambi district,107994,1859694
uttar-pradesh,2021,1,hapur district,249914,6658932
uttar-pradesh,2021,1,hamirpur district,109551,1961142
uttar-pradesh,2021,1,meerut district,741901,16769292
uttar-pradesh,2021,1,mathura district,541676,13042102
uttar-pradesh,2021,1,chitrakoot district,76935,1446130
uttar-pradesh,2021,1,lalitpur district,132483,2886753
uttar-pradesh,2021,1,mau district,252570,4270719
uttar-pradesh,2021,1,mirzapur district,269927,4778747
uttar-pradesh,2021,1,bulandshahr district,461596,11278900
uttar-pradesh,2021,1,gonda district,261669,5605556
uttar-pradesh,2021,1,jhansi district,402240,9769874
uttar-pradesh,2021,1,chandauli district,259262,4759999
